comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,maf_threshold,gws_p_threshold,min_portability_variants_pre_ld,min_coloc_variants,n_raw_eur_variants,n_raw_comparison_variants,n_raw_shared_rows,n_duplicate_key_rows_excluded,n_harmonized_exact,n_harmonized_swapped,n_harmonized_primary,n_harmonized_sensitivity,n_valid_biallelic_snp,n_valid_beta_se,n_valid_p,n_valid_af,n_maf_pass,n_quality_pass,n_qc_qualified,n_qc_qualified_sensitivity,n_eur_gws_qc,n_comparison_gws_qc,n_eur_gws_qc_sensitivity,n_comparison_gws_qc_sensitivity,sample_metadata_usable,gbmi_swapped_sensitivity_only,n_eur_strand_flip_flagged,n_comparison_strand_flip_flagged,n_eur_diff_af_gnomad_flagged,n_comparison_diff_af_gnomad_flagged,eur_trait_type,eur_coloc_type,eur_n_cases_median,eur_n_controls_median,eur_n_total_median,eur_case_fraction_median,eur_usable,comparison_trait_type,comparison_coloc_type,comparison_n_cases_median,comparison_n_controls_median,comparison_n_total_median,comparison_case_fraction_median,comparison_usable,portability_pre_ld_eligible,portability_failure_reason,coloc_input_eligible,coloc_failure_reason,coloc_powered_both_ancestries,harmonized_parquet,harmonized_sidecar,cache_action,eur_n_cases,eur_n_controls,eur_n_total,eur_case_fraction,comparison_n_cases,comparison_n_controls,comparison_n_total,comparison_case_fraction,is_primary_mapping,is_nonmixed,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,approval_analysis_eligible
cmp_90ebb269ca08e668,gt_24b34ddef722adb5,ADORA1,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2584,1797,,0,1132,1,1132,1133,1067,1133,1133,1133,649,1127,606,606.0,44,0,44.0,0.0,True,True,0.0,0.0,5.0,4.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_90ebb269ca08e668.parquet,intermediate/15b4/comparisons/cmp_90ebb269ca08e668.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_3ba52eabf3056c1c,gt_24b34ddef722adb5,ADORA1,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2584,1043,,0,1039,0,1039,1039,985,1039,1039,1039,764,1036,719,719.0,44,0,44.0,0.0,True,True,0.0,0.0,3.0,2.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_3ba52eabf3056c1c.parquet,intermediate/15b4/comparisons/cmp_3ba52eabf3056c1c.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_26e44c681a21da82,gt_24b34ddef722adb5,ADORA1,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2584,873,,0,846,0,846,846,846,846,846,846,671,844,669,669.0,44,0,44.0,0.0,True,True,0.0,0.0,2.0,1.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_26e44c681a21da82.parquet,intermediate/15b4/comparisons/cmp_26e44c681a21da82.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_882aa5528898efd7,gt_24b34ddef722adb5,ADORA1,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2584,1548,,0,916,1,916,917,848,917,917,917,687,911,628,628.0,44,0,44.0,0.0,True,True,0.0,0.0,6.0,2.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,False,intermediate/15b4/comparisons/cmp_882aa5528898efd7.parquet,intermediate/15b4/comparisons/cmp_882aa5528898efd7.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_1879bacc3f143d63,gt_d1a63f782d9591b6,ADORA2B,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2166,1799,,0,1029,0,1029,1029,940,1029,1029,1029,407,1028,362,362.0,99,0,99.0,0.0,True,True,0.0,0.0,1.0,1.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_1879bacc3f143d63.parquet,intermediate/15b4/comparisons/cmp_1879bacc3f143d63.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_3fbdc821bc212f87,gt_d1a63f782d9591b6,ADORA2B,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,2166,903,,0,895,0,895,895,821,895,895,895,464,894,415,415.0,99,0,99.0,0.0,True,True,0.0,0.0,1.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_3fbdc821bc212f87.parquet,intermediate/15b4/comparisons/cmp_3fbdc821bc212f87.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_a918f142c50e9c1b,gt_d1a63f782d9591b6,ADORA2B,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2166,476,,0,464,0,464,464,464,464,464,464,344,464,344,344.0,99,0,99.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_a918f142c50e9c1b.parquet,intermediate/15b4/comparisons/cmp_a918f142c50e9c1b.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_d4512f391230ce00,gt_d1a63f782d9591b6,ADORA2B,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2166,805,,0,633,0,633,633,566,633,633,633,430,632,373,373.0,99,0,99.0,0.0,True,True,0.0,0.0,1.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,False,intermediate/15b4/comparisons/cmp_d4512f391230ce00.parquet,intermediate/15b4/comparisons/cmp_d4512f391230ce00.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_b4fc8783bf50b0f8,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,1868,1497,,0,883,1,883,884,837,884,884,884,345,884,329,329.0,51,0,51.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,5051.0,27607.0,32658.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_b4fc8783bf50b0f8.parquet,intermediate/15b4/comparisons/cmp_b4fc8783bf50b0f8.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_900aed83a970be9e,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,AMR,PRIMARY,False,True,0.01,5e-08,3,50,1868,555,,0,553,0,553,553,531,553,553,553,380,553,362,362.0,51,0,51.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4069.0,14104.0,18173.0,0.22390359324272271,True,True,,True,,False,intermediate/15b4/comparisons/cmp_900aed83a970be9e.parquet,intermediate/15b4/comparisons/cmp_900aed83a970be9e.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_872016488aceb283,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,1868,552,,0,497,0,497,497,497,497,497,497,343,497,343,343.0,50,0,50.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,False,intermediate/15b4/comparisons/cmp_872016488aceb283.parquet,intermediate/15b4/comparisons/cmp_872016488aceb283.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_d8dd6ef7088ffba2,gt_8ec8b2adc38392c6,CSF2,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1868,762,,0,428,0,428,428,405,428,428,428,315,428,295,295.0,24,0,24.0,0.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,False,intermediate/15b4/comparisons/cmp_d8dd6ef7088ffba2.parquet,intermediate/15b4/comparisons/cmp_d8dd6ef7088ffba2.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
cmp_dc17746c43ba008b,gt_519bb947b499daff,GATA3,GBMI,GBMI::Asthma,Asthma,AFR,PRIMARY,False,True,0.01,5e-08,3,50,2668,1878,,0,1354,2,1354,1356,1278,1356,1356,1356,737,1355,696,696.0,19,0,19.0,0.0,True,True,1.0,0.0,1.0,0.0,binary,cc,118889.0,1240541.0,1359430.0,0.08861461363548828,True,binary,cc,4762.0,26670.0,31432.0,0.15466348214832507,True,True,,True,,False,intermediate/15b4/comparisons/cmp_dc17746c43ba008b.parquet,intermediate/15b4/comparisons/cmp_dc17746c43ba008b.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,False,True,False,True
